SITE,PLOT,SUBPLOT,Transect point,Fine,Coarse,Woody
F,3,Z2,1,1,1,1
F,3,Z2,2,1,1,1
F,3,Z2,3,1,1,1
F,3,Z2,4,1,NA,NA
F,3,Z2,5,1,NA,NA
F,3,Z2,6,1,NA,4
F,3,Z2,7,1,3,3
F,3,Z2,8,1,3,4
F,3,Z2,9,1,3,3
F,3,Z2,10,1,1,NA
F,3,Z2,11,1,2,NA
F,3,Z2,12,1,2,2
F,3,Z3,1,1,NA,3
F,3,Z3,2,1,2,4
F,3,Z3,3,1,3,4
F,3,Z3,4,1,NA,NA
F,3,Z3,5,2,4,4
F,3,Z3,6,2,3,NA
F,3,Z3,7,1,1,1
F,3,Z3,8,1,3,NA
F,3,Z3,9,1,2,1
F,3,Z3,10,1,3,NA
F,3,Z3,11,2,4,4
F,3,Z3,12,1,NA,3
F,3,Z4,1,3,3,4
F,3,Z4,2,1,4,4
F,3,Z4,3,1,1,1
F,3,Z4,4,1,2,4
F,3,Z4,5,1,3,4
F,3,Z4,6,4,4,4
F,3,Z4,7,4,4,4
F,3,Z4,8,2,4,4
F,3,Z4,9,2,3,4
F,3,Z4,10,2,3,4
F,3,Z4,11,2,4,4
F,3,Z4,12,2,3,4
F,4,Z1,1,2,4,4
F,4,Z1,2,1,4,4
F,4,Z1,3,1,3,4
F,4,Z1,4,2,4,4
F,4,Z1,5,1,2,4
F,4,Z1,6,1,4,4
F,4,Z1,7,1,4,4
F,4,Z1,8,1,1,1
F,4,Z1,9,1,1,4
F,4,Z1,10,3,4,4
F,4,Z1,11,2,4,4
F,4,Z1,12,1,4,4
F,4,Z2,1,1,2,4
F,4,Z2,2,1,1,2
F,4,Z2,3,1,2,3
F,4,Z2,4,1,4,4
F,4,Z2,5,4,4,4
F,4,Z2,6,1,1,3
F,4,Z2,7,1,2,3
F,4,Z2,8,1,2,4
F,4,Z2,9,2,3,4
F,4,Z2,10,2,2,4
F,4,Z2,11,2,4,4
F,4,Z2,12,2,2,3
F,4,Z3,1,3,4,4
F,4,Z3,2,3,4,4
F,4,Z3,3,2,4,4
F,4,Z3,4,3,4,4
F,4,Z3,5,3,4,4
F,4,Z3,6,4,4,4
F,4,Z3,7,4,2,4
F,4,Z3,8,4,4,4
F,4,Z3,9,1,2,4
F,4,Z3,10,2,4,4
F,4,Z3,11,2,3,4
F,4,Z3,12,2,4,4
F,4,Z4,1,4,4,4
F,4,Z4,2,4,4,4
F,4,Z4,3,4,4,4
F,4,Z4,4,2,4,4
F,4,Z4,5,4,3,4
F,4,Z4,6,4,4,4
F,4,Z4,7,2,3,4
F,4,Z4,8,1,4,4
F,4,Z4,9,1,4,4
F,4,Z4,10,1,2,4
F,4,Z4,11,1,1,2
F,4,Z4,12,1,3,4
F,5,Z1,1,3,4,4
F,5,Z1,2,4,4,4
F,5,Z1,3,3,4,4
F,5,Z1,4,3,4,4
F,5,Z1,5,4,4,NA
F,5,Z1,6,4,4,NA
F,5,Z1,7,4,4,4
F,5,Z1,8,3,4,4
F,5,Z1,9,2,4,4
F,5,Z1,10,2,4,4
F,5,Z1,11,4,4,NA
F,5,Z1,12,3,4,4
F,5,Z2,1,4,4,4
F,5,Z2,2,2,4,4
F,5,Z2,3,3,3,4
F,5,Z2,4,1,3,NA
F,5,Z2,5,2,4,4
F,5,Z2,6,2,4,4
F,5,Z2,7,3,4,NA
F,5,Z2,8,2,3,4
F,5,Z2,9,2,4,4
F,5,Z2,10,3,3,4
F,5,Z2,11,2,4,4
F,5,Z2,12,2,3,4
F,5,Z3,1,1,4,4
F,5,Z3,2,1,4,4
F,5,Z3,3,2,4,4
F,5,Z3,4,2,4,4
F,5,Z3,5,3,4,4
F,5,Z3,6,3,4,4
F,5,Z3,7,1,3,4
F,5,Z3,8,1,3,4
F,5,Z3,9,1,2,4
F,5,Z3,10,1,2,4
F,5,Z3,11,4,4,4
F,5,Z3,12,4,4,4
F,5,Z4,1,4,4,4
F,5,Z4,2,4,4,4
F,5,Z4,3,4,4,4
F,5,Z4,4,3,4,4
F,5,Z4,5,4,4,4
F,5,Z4,6,2,4,4
F,5,Z4,7,1,4,4
F,5,Z4,8,2,4,4
F,5,Z4,9,2,4,4
F,5,Z4,10,2,4,4
F,5,Z4,11,1,4,4
F,5,Z4,12,2,4,4
