SITE,PLOT,SUBPLOT,Transect point,Grasses,Shrubs,Trees
F,3,Z2,1,5,0,20
F,3,Z2,2,0,0,0
F,3,Z2,3,0,0,10
F,3,Z2,4,0,NA,NA
F,3,Z2,5,0,NA,NA
F,3,Z2,6,10,NA,100
F,3,Z2,7,5,60,70
F,3,Z2,8,5,70,80
F,3,Z2,9,5,70,70
F,3,Z2,10,0,0,NA
F,3,Z2,11,20,40,NA
F,3,Z2,12,5,30,50
F,3,Z3,1,0,NA,70
F,3,Z3,2,0,50,100
F,3,Z3,3,10,60,100
F,3,Z3,4,0,NA,NA
F,3,Z3,5,50,90,100
F,3,Z3,6,40,70,NA
F,3,Z3,7,0,10,60
F,3,Z3,8,0,60,NA
F,3,Z3,9,0,40,0
F,3,Z3,10,15,60,NA
F,3,Z3,11,50,100,100
F,3,Z3,12,20,NA,70
F,3,Z4,1,60,70,90
F,3,Z4,2,0,80,100
F,3,Z4,3,0,0,20
F,3,Z4,4,10,50,100
F,3,Z4,5,20,60,100
F,3,Z4,6,100,100,100
F,3,Z4,7,80,100,90
F,3,Z4,8,50,90,90
F,3,Z4,9,30,60,95
F,3,Z4,10,40,70,100
F,3,Z4,11,50,90,100
F,3,Z4,12,40,70,90
F,4,Z1,1,40,100,90
F,4,Z1,2,10,90,100
F,4,Z1,3,10,60,100
F,4,Z1,4,30,80,100
F,4,Z1,5,5,30,90
F,4,Z1,6,5,100,100
F,4,Z1,7,0,80,95
F,4,Z1,8,0,0,20
F,4,Z1,9,0,0,90
F,4,Z1,10,70,100,100
F,4,Z1,11,50,100,100
F,4,Z1,12,20,100,100
F,4,Z2,1,5,50,80
F,4,Z2,2,10,0,50
F,4,Z2,3,20,40,70
F,4,Z2,4,30,80,80
F,4,Z2,5,80,100,100
F,4,Z2,6,5,20,70
F,4,Z2,7,15,30,70
F,4,Z2,8,20,40,80
F,4,Z2,9,50,70,100
F,4,Z2,10,40,50,90
F,4,Z2,11,50,80,100
F,4,Z2,12,30,40,70
F,4,Z3,1,60,85,100
F,4,Z3,2,60,100,100
F,4,Z3,3,50,100,100
F,4,Z3,4,70,90,95
F,4,Z3,5,60,100,90
F,4,Z3,6,100,100,90
F,4,Z3,7,80,50,80
F,4,Z3,8,100,100,100
F,4,Z3,9,0,50,95
F,4,Z3,10,40,80,95
F,4,Z3,11,50,70,90
F,4,Z3,12,50,100,100
F,4,Z4,1,100,100,100
F,4,Z4,2,100,100,100
F,4,Z4,3,90,90,100
F,4,Z4,4,50,80,90
F,4,Z4,5,90,75,90
F,4,Z4,6,95,100,100
F,4,Z4,7,30,70,90
F,4,Z4,8,10,80,95
F,4,Z4,9,20,80,95
F,4,Z4,10,10,50,95
F,4,Z4,11,0,0,40
F,4,Z4,12,0,75,90
F,5,Z1,1,70,100,100
F,5,Z1,2,80,100,100
F,5,Z1,3,60,100,100
F,5,Z1,4,70,100,100
F,5,Z1,5,90,100,NA
F,5,Z1,6,80,100,NA
F,5,Z1,7,80,100,100
F,5,Z1,8,60,100,100
F,5,Z1,9,40,100,100
F,5,Z1,10,50,100,100
F,5,Z1,11,90,100,NA
F,5,Z1,12,70,100,100
F,5,Z2,1,80,85,100
F,5,Z2,2,50,80,100
F,5,Z2,3,60,75,100
F,5,Z2,4,20,70,NA
F,5,Z2,5,40,80,100
F,5,Z2,6,40,90,100
F,5,Z2,7,60,95,NA
F,5,Z2,8,50,65,100
F,5,Z2,9,50,85,100
F,5,Z2,10,70,75,100
F,5,Z2,11,40,90,100
F,5,Z2,12,40,70,100
F,5,Z3,1,20,90,100
F,5,Z3,2,20,100,100
F,5,Z3,3,30,100,100
F,5,Z3,4,50,95,95
F,5,Z3,5,60,90,90
F,5,Z3,6,70,80,90
F,5,Z3,7,20,60,80
F,5,Z3,8,10,70,90
F,5,Z3,9,0,30,95
F,5,Z3,10,0,50,95
F,5,Z3,11,100,100,100
F,5,Z3,12,100,100,100
F,5,Z4,1,100,100,100
F,5,Z4,2,100,100,100
F,5,Z4,3,100,100,100
F,5,Z4,4,70,100,100
F,5,Z4,5,90,100,100
F,5,Z4,6,50,100,100
F,5,Z4,7,20,100,100
F,5,Z4,8,40,100,100
F,5,Z4,9,30,100,100
F,5,Z4,10,50,100,100
F,5,Z4,11,20,100,100
F,5,Z4,12,50,100,100
